,Data,k%,epochs,Dataset_name,Balance_Class,Balance_Sensitive,Fairness_cost_function,Dataset_training_size,Dataset_testing_size,Fairness_cost_multiplier,Test_loss_predictor,Test_loss_Discriminator_fool,Test_total_loss_gen,Train_loss_predictor,Train_loss_Discriminator_fool,Train_total_loss_gen,Dataset_fairness_Demographic_Parity,Report_DNN_Discriminator_Training_Accuracy,Report_DNN_Discriminator_Training_precision,Report_DNN_Discriminator_Training_recall,Report_DNN_Discriminator_Training_f1,Report_DNN_Discriminator_Testing_Accuracy,Report_DNN_Discriminator_Testing_precision,Report_DNN_Discriminator_Testing_recall,Report_DNN_Discriminator_Testing_f1,Report_Predictor_Training_Accuracy,Report_Predictor_Training_precision,Report_Predictor_Training_recall,Report_Predictor_Training_f1,Report_Predictor_Testing_Accuracy,Report_Predictor_Testing_precision,Report_Predictor_Testing_recall,Report_Predictor_Testing_f1,Report_Before_CatBoost_Prediction_Training_Accuracy,Report_Before_CatBoost_Prediction_Training_precision,Report_Before_CatBoost_Prediction_Training_recall,Report_Before_CatBoost_Prediction_Training_f1,Report_Before_CatBoost_Prediction_Testing_Accuracy,Report_Before_CatBoost_Prediction_Testing_precision,Report_Before_CatBoost_Prediction_Testing_recall,Report_Before_CatBoost_Prediction_Testing_f1,Report_After_CatBoost_Prediction_Training_Accuracy,Report_After_CatBoost_Prediction_Training_precision,Report_After_CatBoost_Prediction_Training_recall,Report_After_CatBoost_Prediction_Training_f1,Report_After_CatBoost_Prediction_Testing_Accuracy,Report_After_CatBoost_Prediction_Testing_precision,Report_After_CatBoost_Prediction_Testing_recall,Report_After_CatBoost_Prediction_Testing_f1,Report_Before_CatBoost_Sensitive_Training_Accuracy,Report_Before_CatBoost_Sensitive_Training_precision,Report_Before_CatBoost_Sensitive_Training_recall,Report_Before_CatBoost_Sensitive_Training_f1,Report_Before_CatBoost_Sensitive_Testing_Accuracy,Report_Before_CatBoost_Sensitive_Testing_precision,Report_Before_CatBoost_Sensitive_Testing_recall,Report_Before_CatBoost_Sensitive_Testing_f1,Report_After_CatBoost_Sensitive_Training_Accuracy,Report_After_CatBoost_Sensitive_Training_precision,Report_After_CatBoost_Sensitive_Training_recall,Report_After_CatBoost_Sensitive_Training_f1,Report_After_CatBoost_Sensitive_Testing_Accuracy,Report_After_CatBoost_Sensitive_Testing_precision,Report_After_CatBoost_Sensitive_Testing_recall,Report_After_CatBoost_Sensitive_Testing_f1,Fairness_Equal_Odd_Before_CatBoost_prediction_Training,Fairness_Equal_Odd_Before_CatBoost_prediction_Testing,Fairness_Equal_Odd_DNN_prediction_Training,Fairness_Equal_Odd_DNN_prediction_Testing,Fairness_Equal_Odd_After_CatBoost_prediction_Training,Fairness_Equal_Odd_After_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Training,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_DNN_prediction_Training,Fairness_Equal_Opportunity_DNN_prediction_Testing,Fairness_Equal_Opportunity_After_CatBoost_prediction_Training,Fairness_Equal_Opportunity_After_CatBoost_prediction_Testing,Fairness_Demographic_Parity_Before_CatBoost_prediction_Training,Fairness_Demographic_Parity_Before_CatBoost_prediction_Testing,Fairness_Demographic_Parity_DNN_prediction_Training,Fairness_Demographic_Parity_DNN_prediction_Testing,Fairness_Demographic_Parity_After_CatBoost_prediction_Training,Fairness_Demographic_Parity_After_CatBoost_prediction_Testing,Fairness_Treatment_Equality_Before_CatBoost_prediction_Training,Fairness_Treatment_Equality_Before_CatBoost_prediction_Testing,Fairness_Treatment_Equality_DNN_prediction_Training,Fairness_Treatment_Equality_DNN_prediction_Testing,Fairness_Treatment_Equality_After_CatBoost_prediction_Training,Fairness_Treatment_Equality_After_CatBoost_prediction_Testing
0,2024-04-29 10:43,0.01,400,Gender_Pay_Gap,0,0,Demographic Parity,2410,1033,0,0.40583062,0.7116523,1.1831956,0.38875294,0.7157628,1.1759349,0.1974810607295524,0.5618257261410788,0.5610877856116118,0.5618257261410788,0.5611952704629973,0.5333978702807357,0.5362439580989046,0.5333978702807357,0.5334660844092323,0.8323651452282158,0.8349712250571363,0.8323651452282158,0.832170698705019,0.818973862536302,0.8207138109805795,0.818973862536302,0.8190074533468971,1.0,1.0,1.0,1.0,0.9990319457889641,0.9990337484969922,0.9990319457889641,0.9990319094468074,0.8887966804979253,0.8890790499241932,0.8887966804979253,0.8888001268438178,0.8305905130687319,0.8308767514902844,0.8305905130687319,0.8306394466496256,0.7863070539419087,0.7864993206564646,0.7863070539419087,0.7863640527874851,0.7386253630203291,0.7409418217577762,0.7386253630203291,0.7387836382504462,0.6211618257261411,0.62123447584279,0.6211618257261411,0.6211954785010658,0.5701839303000968,0.5723784421266566,0.5701839303000968,0.5704256571198414,0.0,0.005649717514124294,0.08560596632501263,0.08297362947786674,0.08560596632501263,0.08297362947786674,0.0,0.0,0.06219826153577479,0.045787545787545736,0.04047027541644832,0.037316849816849795,0.1831007881394705,0.22831709370864917,0.0704853810168869,0.10830551545771683,0.10106417115620697,0.11057981474798512,0.0,0.005649717514124294,0.06219826153577479,0.045787545787545736,0.04513569090856431,0.045656779661016944
1,2024-04-29 10:50,0.01,400,Gender_Pay_Gap,0,0,Demographic Parity,2410,1033,5,0.50477546,0.7023751,1.2168133,0.49765378,0.7046822,1.2231636,0.1974810607295524,0.5506224066390042,0.5484958572985839,0.5506224066390042,0.5441638243701535,0.5237173281703775,0.5376326594038315,0.5237173281703775,0.5120698214083665,0.8008298755186722,0.8012631627239156,0.8008298755186722,0.800672746802844,0.7879961277831559,0.7879439432696063,0.7879961277831559,0.787910114482069,1.0,1.0,1.0,1.0,0.9990319457889641,0.9990337484969922,0.9990319457889641,0.9990319094468074,0.8593360995850622,0.8597806458638586,0.8593360995850622,0.859333266007498,0.8054211035818006,0.8058920806522939,0.8054211035818006,0.8054867834213436,0.7863070539419087,0.7864993206564646,0.7863070539419087,0.7863640527874851,0.7386253630203291,0.7409418217577762,0.7386253630203291,0.7387836382504462,0.6033195020746888,0.6080232934388602,0.6033195020746888,0.5909941405219794,0.526621490803485,0.5453984043796107,0.526621490803485,0.5091808051703617,0.0,0.005649717514124294,0.1710561290038277,0.21033673247656293,0.1710561290038277,0.21033673247656293,0.0,0.0,0.12725265191845103,0.1217948717948718,0.0973196329282926,0.13907967032967028,0.1831007881394705,0.22831709370864917,0.006766226695162358,3.3832551425416746e-05,0.04901218610884339,0.03638502947191152,0.0,0.005649717514124294,0.12725265191845103,0.15443149717514124,0.0973196329282926,0.13907967032967028
2,2024-04-29 10:58,0.01,400,Gender_Pay_Gap,0,0,Demographic Parity,2410,1033,10,0.6907082,0.69285554,1.3835745,0.6912873,0.69637007,1.3880134,0.1974810607295524,0.5224066390041494,0.27290869647561167,0.5224066390041494,0.3585227356261783,0.47337850919651503,0.22408721296911505,0.47337850919651503,0.30418145991734014,0.5074688796680498,0.2575246638315456,0.5074688796680498,0.34166498201707945,0.5188770571151985,0.2692334004005289,0.5188770571151985,0.3545163831915187,1.0,1.0,1.0,1.0,0.9990319457889641,0.9990337484969922,0.9990319457889641,0.9990319094468074,0.854356846473029,0.8548859450054519,0.854356846473029,0.854349298572845,0.7676669893514037,0.7680153372981274,0.7676669893514037,0.7677375807984292,0.7863070539419087,0.7864993206564646,0.7863070539419087,0.7863640527874851,0.7386253630203291,0.7409418217577762,0.7386253630203291,0.7387836382504462,0.637759336099585,0.6380950705936677,0.637759336099585,0.6349690643769816,0.5721200387221684,0.5838942173917041,0.5721200387221684,0.5674973853770672,0.0,0.005649717514124294,0.12223548561179888,0.15497920158937106,0.12223548561179888,0.15497920158937106,0.0,0.0,0.0,0.0,0.06321790516750891,0.09706959706959706,0.1831007881394705,0.22831709370864917,0.0,0.0,0.0707814249997758,0.04640322386623358,0.0,0.005649717514124294,0.0,0.0,0.06321790516750891,0.09706959706959706
3,2024-04-29 11:05,0.01,400,Gender_Pay_Gap,1,0,Demographic Parity,2356,1011,0,0.4551733,0.7001104,1.1815491,0.43182132,0.6963892,1.1347492,0.20040252598121971,0.49575551782682514,0.49796788688652344,0.49575551782682514,0.4718551703943359,0.5182987141444114,0.5259500979266486,0.5182987141444114,0.4914682657824867,0.7962648556876061,0.7973199438447155,0.7962648556876061,0.796003675638595,0.7823936696340257,0.785623293201877,0.7823936696340257,0.7820847150094069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8522920203735145,0.8530402774750044,0.8522920203735145,0.8522505012280448,0.80811078140455,0.8081616218341727,0.80811078140455,0.8081235510837776,0.7915959252971138,0.791620927444357,0.7915959252971138,0.7915671926568397,0.7556874381800198,0.7557665874191055,0.7556874381800198,0.7556907845443455,0.5789473684210527,0.5788769945662254,0.5789473684210527,0.5786512082178229,0.5479723046488625,0.5478886489374902,0.5479723046488625,0.5477368498147316,0.0,0.0,0.09776407150520519,0.08529059978466058,0.09776407150520519,0.08529059978466058,0.0,0.0,0.09850927897779127,0.12906533616982196,0.06475813811986608,0.06937663569996477,0.19601178532715235,0.147575437360573,0.054328397795152084,0.012163907479159353,0.09125844691990126,0.048585182576024455,0.0,0.0,0.09850927897779127,0.12906533616982196,0.06475813811986608,0.06937663569996477
4,2024-04-29 11:12,0.01,400,Gender_Pay_Gap,1,0,Demographic Parity,2356,1011,5,0.47621232,0.7034047,1.1860644,0.46103522,0.70301133,1.1647358,0.20040252598121971,0.5229202037351444,0.5247088740258045,0.5229202037351444,0.5196155150739548,0.5301681503461919,0.5322853143120643,0.5301681503461919,0.5258612915695217,0.7992359932088285,0.8001011548334009,0.7992359932088285,0.7990200098551543,0.781404549950544,0.7852597565606958,0.781404549950544,0.7810041704158954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8463497453310697,0.8466443923603661,0.8463497453310697,0.8463408872323772,0.8031651829871415,0.8035534795307273,0.8031651829871415,0.8031825153357535,0.7915959252971138,0.791620927444357,0.7915959252971138,0.7915671926568397,0.7556874381800198,0.7557665874191055,0.7556874381800198,0.7556907845443455,0.5963497453310697,0.598507371808064,0.5963497453310697,0.5928419603175397,0.5816023738872403,0.582489444984311,0.5816023738872403,0.5796228308003198,0.0,0.0,0.14273985452610086,0.16768801800152372,0.14273985452610086,0.16768801800152372,0.0,0.0,0.1558503194402191,0.1945851635317345,0.08932461210830545,0.11247493839820022,0.19601178532715235,0.147575437360573,0.004183099241218624,0.04529764001408948,0.06728418552088372,0.006845133262885994,0.0,0.0,0.1558503194402191,0.1945851635317345,0.08932461210830545,0.11247493839820022
5,2024-04-29 11:19,0.01,400,Gender_Pay_Gap,1,0,Demographic Parity,2356,1011,10,0.69326663,0.6928395,1.3861183,0.69296837,0.6931798,1.3861909,0.20040252598121971,0.5021222410865874,0.49296806489540884,0.5021222410865874,0.40758500060825614,0.49357072205736896,0.4713499472148937,0.49357072205736896,0.3943416228558125,0.5046689303904923,0.25469072930148356,0.5046689303904923,0.3385339115567252,0.4896142433234421,0.23972210726518678,0.4896142433234421,0.3218579687185974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8913412563667232,0.8914171698881698,0.8913412563667232,0.891327157902491,0.7527200791295747,0.7530561935476484,0.7527200791295747,0.7527437892324297,0.7915959252971138,0.791620927444357,0.7915959252971138,0.7915671926568397,0.7556874381800198,0.7557665874191055,0.7556874381800198,0.7556907845443455,0.6723259762308998,0.6750352244291338,0.6723259762308998,0.6705388984248302,0.579624134520277,0.5796338447190075,0.579624134520277,0.5792741524095703,0.0,0.0,0.06357267176795534,0.14933313960386277,0.06357267176795534,0.14933313960386277,0.0,0.0,0.0,0.0,0.031110435047155383,0.10303187988796891,0.19601178532715235,0.147575437360573,0.0,0.0,0.12281475587536617,0.0009275566514030387,0.0,0.0,0.0,0.0,0.03246223672079995,0.10303187988796891
6,2024-04-29 11:26,0.01,400,Gender_Pay_Gap,0,1,Demographic Parity,2357,1011,0,0.35509267,0.7353255,1.1873709,0.34285983,0.739842,1.2505791,0.19697581603078823,0.5808230801866779,0.5836956794700481,0.5808230801866779,0.5667124668662155,0.5450049455984174,0.5671043137552314,0.5450049455984174,0.5276085610854926,0.8638099278744167,0.8647383671092773,0.8638099278744167,0.8637317830763952,0.8565776458951533,0.8568360298862343,0.8565776458951533,0.8566054377423722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8947815019092066,0.8947868074756505,0.8947815019092066,0.8947815776679918,0.857566765578635,0.8575686499115351,0.857566765578635,0.8575374668261387,0.7793805685193042,0.779593802162488,0.7793805685193042,0.7790126678701529,0.7398615232443125,0.7444086689160204,0.7398615232443125,0.7397744782734437,0.5990666100975817,0.6022537251890729,0.5990666100975817,0.5886216611761894,0.5390702274975272,0.5552987929238553,0.5390702274975272,0.5266198255965984,0.0,0.0,0.03831058332993985,0.03573839995838676,0.03831058332993985,0.03573839995838676,0.0,0.0,0.0680683999302042,0.020838899278653567,0.03635491188274298,0.03383570900975941,0.16118449526513512,0.19786958568738233,0.07827603021542046,0.1216219397363465,0.10833275626265948,0.12587099811676078,0.0,0.0,0.0680683999302042,0.020838899278653567,0.03635491188274298,0.03383570900975941
7,2024-04-29 11:33,0.01,400,Gender_Pay_Gap,0,1,Demographic Parity,2357,1011,5,0.6376126,0.7123974,1.3556514,0.64210063,0.71874726,1.3612485,0.19697581603078823,0.5540941875265167,0.6315203929962128,0.5540941875265167,0.4513109794702849,0.49851632047477745,0.5983047674320643,0.49851632047477745,0.38121581418052736,0.7025880356385236,0.7867407702926767,0.7025880356385236,0.6787800965596102,0.705242334322453,0.7809293362495165,0.705242334322453,0.6805072974645078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8523546881629189,0.8525462760099397,0.8523546881629189,0.8523301265089863,0.8140454995054401,0.8141918239506822,0.8140454995054401,0.813914249857999,0.7793805685193042,0.779593802162488,0.7793805685193042,0.7790126678701529,0.7398615232443125,0.7444086689160204,0.7398615232443125,0.7397744782734437,0.6147645311837081,0.6211017428907589,0.6147645311837081,0.6029206751535061,0.5578635014836796,0.5832011824870108,0.5578635014836796,0.5404115367947271,0.0,0.0,0.080693030902862,0.026361702849214436,0.080693030902862,0.026361702849214436,0.0,0.0,0.026362473099517225,0.04136348635099241,0.07069737683941135,0.019770237777184008,0.16118449526513512,0.19786958568738233,0.03229431758507462,0.04829331450094165,0.07379435509466847,0.1367702448210923,0.0,0.0,0.04128639721860061,0.04136348635099241,0.07069737683941135,0.019770237777184008
8,2024-04-29 11:39,0.01,400,Gender_Pay_Gap,0,1,Demographic Parity,2357,1011,10,0.6925994,0.6918061,1.3844295,0.6928222,0.69630784,1.3892148,0.19697581603078823,0.5214255409418753,0.27188459474652726,0.5214255409418753,0.3574076909188872,0.47477744807121663,0.2254136251970168,0.47477744807121663,0.30569171706798653,0.5010606703436572,0.2510617953652351,0.5010606703436572,0.3345125221457655,0.5143422354104846,0.2645479351270544,0.5143422354104846,0.3493898921142417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8884174798472635,0.8886586255604827,0.8884174798472635,0.8884034990714608,0.7903066271018794,0.7902760822982007,0.7903066271018794,0.7902634928273709,0.7793805685193042,0.779593802162488,0.7793805685193042,0.7790126678701529,0.7398615232443125,0.7444086689160204,0.7398615232443125,0.7397744782734437,0.7025880356385236,0.7062814779306232,0.7025880356385236,0.6993941449103337,0.5766567754698319,0.5885176912258759,0.5766567754698319,0.5718347565875339,0.0,0.0,0.07288687650768388,0.09203458909930667,0.07288687650768388,0.09203458909930667,0.0,0.0,0.0,0.0,0.046050718315593486,0.06554981062689569,0.16118449526513512,0.19786958568738233,0.0,0.0,0.08957002464091784,0.07033898305084746,0.0,0.0,0.0,0.0,0.046050718315593486,0.06554981062689569
9,2024-04-29 11:45,0.01,400,Gender_Pay_Gap,1,1,Demographic Parity,1932,829,0,0.36975363,0.71252507,1.1183248,0.34015843,0.71663475,1.2436547,0.0,0.5678053830227743,0.5681891063061381,0.5678053830227743,0.5616061660508791,0.5404101326899879,0.5457969638455238,0.5404101326899879,0.5345641179558109,0.8467908902691511,0.8475633234326139,0.8467908902691511,0.8466527945816228,0.8262967430639324,0.8262840277315263,0.8262967430639324,0.825896521633063,1.0,1.0,1.0,1.0,0.9987937273823885,0.9987964079882052,0.9987937273823885,0.9987936036332904,0.9032091097308489,0.9033758849533915,0.9032091097308489,0.9031856823802548,0.8238841978287093,0.8237202053771304,0.8238841978287093,0.8237249648574164,0.7934782608695652,0.7971409570126106,0.7934782608695652,0.7923492976355588,0.7418576598311218,0.7474982645656575,0.7418576598311218,0.7410061198826561,0.6651138716356108,0.6771020561510429,0.6651138716356108,0.6565847464051731,0.6537997587454765,0.6682972390270921,0.6537997587454765,0.6483791929144382,0.0,0.005555555555555556,0.04534024644873197,0.10457528099871166,0.04534024644873197,0.10457528099871166,0.0,0.0,0.024373784454429614,0.051739304278288656,0.01694219032928701,0.06735305877648945,0.013799213189585269,0.07165734917307243,0.013769182257725388,0.04416491963661773,0.01147181597044955,0.025407640344747184,0.0,0.005555555555555556,0.024373784454429614,0.05944444444444444,0.02839805611944496,0.06735305877648945
10,2024-04-29 11:51,0.01,400,Gender_Pay_Gap,1,1,Demographic Parity,1932,829,5,0.6226482,0.6978546,1.3225911,0.6273726,0.70436853,1.3348511,0.0,0.5238095238095238,0.5910543130990416,0.5238095238095238,0.3849215263425885,0.48612786489746684,0.457173093248785,0.48612786489746684,0.33196430104858765,0.6055900621118012,0.7759148271651087,0.6055900621118012,0.5304865043002237,0.617611580217129,0.7624203621199493,0.617611580217129,0.5331496959612148,1.0,1.0,1.0,1.0,0.9987937273823885,0.9987964079882052,0.9987937273823885,0.9987936036332904,0.8628364389233955,0.8629461907192395,0.8628364389233955,0.8628077999401468,0.7949336550060314,0.796034149781256,0.7949336550060314,0.7951877288374052,0.7934782608695652,0.7971409570126106,0.7934782608695652,0.7923492976355588,0.7418576598311218,0.7474982645656575,0.7418576598311218,0.7410061198826561,0.6004140786749482,0.6012833647688548,0.6004140786749482,0.5966675216128701,0.5355850422195416,0.5391294205085102,0.5355850422195416,0.5321722500680199,0.0,0.005555555555555556,0.06344831139093604,0.12530654404904706,0.06344831139093604,0.12530654404904706,0.0,0.0,0.0020161290322581182,0.008196721311475419,0.04686556904298844,0.06697321071571372,0.013799213189585269,0.07165734917307243,0.03662272140304512,0.0012928022361984315,0.021892549325805533,0.0315630095504309,0.0,0.005555555555555556,0.06644960586327808,0.012777777777777777,0.04686556904298844,0.06697321071571372
11,2024-04-29 11:57,0.01,400,Gender_Pay_Gap,1,1,Demographic Parity,1932,829,10,0.6932105,0.69375885,1.3869752,0.6931183,0.6962047,1.3893251,0.0,0.5144927536231884,0.2647027935307708,0.5144927536231884,0.34955966992580256,0.48854041013269,0.23867173233261693,0.48854041013269,0.3206788753707285,0.4943064182194617,0.2443388350929534,0.4943064182194617,0.3270264145476869,0.4583835946924005,0.21011551988312688,0.4583835946924005,0.28814849624997885,1.0,1.0,1.0,1.0,0.9987937273823885,0.9987964079882052,0.9987937273823885,0.9987936036332904,0.8628364389233955,0.8630793541883041,0.8628364389233955,0.8628355937370734,0.7177322074788902,0.7179805494187753,0.7177322074788902,0.7178396568300848,0.7934782608695652,0.7971409570126106,0.7934782608695652,0.7923492976355588,0.7418576598311218,0.7474982645656575,0.7418576598311218,0.7410061198826561,0.6842650103519669,0.6846850901671317,0.6842650103519669,0.684331341232145,0.617611580217129,0.617591108007416,0.617611580217129,0.6176004455172559,0.0,0.005555555555555556,0.07024682935876947,0.15215691501177303,0.07024682935876947,0.15215691501177303,0.0,0.0,0.0,0.0,0.04547817047817049,0.14660135945621744,0.013799213189585269,0.07165734917307243,0.0,0.0,0.025225982762245136,0.04634288376426732,0.0,0.005555555555555556,0.0,0.0,0.04547817047817049,0.14660135945621744
12,2024-04-29 12:35,0.1,240,Gender_Pay_Gap,0,0,Demographic Parity,24100,10329,0,0.08151135,0.7857032,1.0426707,0.07762436,0.7854039,0.92769915,0.1974810607295524,0.5909128630705395,0.5956985355037405,0.5909128630705395,0.5891596104835662,0.5945396456578566,0.5980697595109199,0.5945396456578566,0.5926257975386425,0.9734024896265561,0.9738150919023106,0.9734024896265561,0.9733873576488506,0.9686320069706651,0.9691522620475436,0.9686320069706651,0.9686166976933283,0.9999585062240663,0.9999585095909744,0.9999585062240663,0.999958506184968,1.0,1.0,1.0,1.0,0.9787551867219917,0.9787553918225486,0.9787551867219917,0.9787548576345082,0.9702778584567722,0.9702782349554987,0.9702778584567722,0.9702776009987385,0.774688796680498,0.7747898853495764,0.774688796680498,0.7747194867329511,0.7728724949172233,0.7730323379857897,0.7728724949172233,0.7728911029879315,0.6195020746887967,0.6212402327666785,0.6195020746887967,0.6152937740223116,0.6157420853906477,0.6187259262202568,0.6157420853906477,0.6115617872481764,0.0002079002079002079,0.0,0.025879756719209373,0.02577732940121849,0.025879756719209373,0.02577732940121849,0.0,0.0,0.012381438910174514,0.013016905468042794,0.01188434562318108,0.013154275678604166,0.21052574975815092,0.20654818728861873,0.18331407330118327,0.1780462206541587,0.18913634224155068,0.1819246201841796,0.0002079002079002079,0.0,0.02074460323347936,0.019309993314655195,0.013995411096028292,0.013154275678604166
